Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-05 09:15:00+05:30,1593.0,1599.699951171875,1593.0,1598.800048828125,0,0.0,0.0
2026-01-05 09:16:00+05:30,1598.0999755859375,1599.800048828125,1597.5999755859375,1599.0,114121,0.0,0.0
2026-01-05 09:17:00+05:30,1599.300048828125,1600.5999755859375,1599.199951171875,1600.5999755859375,71444,0.0,0.0
2026-01-05 09:18:00+05:30,1600.4000244140625,1602.5999755859375,1600.4000244140625,1602.4000244140625,96335,0.0,0.0
2026-01-05 09:19:00+05:30,1602.0999755859375,1603.300048828125,1602.0999755859375,1602.9000244140625,57685,0.0,0.0
2026-01-05 09:20:00+05:30,1603.199951171875,1603.699951171875,1602.0,1602.5999755859375,47337,0.0,0.0
2026-01-05 09:21:00+05:30,1602.5,1606.0999755859375,1601.5,1606.0,100766,0.0,0.0
2026-01-05 09:22:00+05:30,1606.0999755859375,1609.300048828125,1606.0999755859375,1609.199951171875,96605,0.0,0.0
2026-01-05 09:23:00+05:30,1609.199951171875,1611.5999755859375,1608.699951171875,1609.0999755859375,129051,0.0,0.0
2026-01-05 09:24:00+05:30,1609.5999755859375,1609.5999755859375,1607.199951171875,1607.699951171875,32668,0.0,0.0
2026-01-05 09:25:00+05:30,1608.0,1608.0999755859375,1606.9000244140625,1608.0,46031,0.0,0.0
2026-01-05 09:26:00+05:30,1608.0,1609.9000244140625,1608.0,1609.699951171875,49828,0.0,0.0
2026-01-05 09:27:00+05:30,1609.5,1609.800048828125,1608.0999755859375,1608.4000244140625,21607,0.0,0.0
2026-01-05 09:28:00+05:30,1608.4000244140625,1608.699951171875,1607.5999755859375,1607.9000244140625,36136,0.0,0.0
2026-01-05 09:29:00+05:30,1607.699951171875,1608.0,1605.699951171875,1606.0,53788,0.0,0.0
2026-01-05 09:30:00+05:30,1605.800048828125,1606.0,1603.5999755859375,1603.699951171875,62604,0.0,0.0
2026-01-05 09:31:00+05:30,1603.199951171875,1603.9000244140625,1601.9000244140625,1602.199951171875,57703,0.0,0.0
2026-01-05 09:32:00+05:30,1602.300048828125,1602.5999755859375,1601.4000244140625,1602.0,27478,0.0,0.0
2026-01-05 09:33:00+05:30,1602.0,1602.5,1599.699951171875,1599.699951171875,30525,0.0,0.0
2026-01-05 09:34:00+05:30,1599.4000244140625,1599.9000244140625,1597.5999755859375,1597.5999755859375,39009,0.0,0.0
2026-01-05 09:35:00+05:30,1597.800048828125,1599.5,1596.5,1598.199951171875,41245,0.0,0.0
2026-01-05 09:36:00+05:30,1598.5,1599.699951171875,1598.0,1599.300048828125,21817,0.0,0.0
2026-01-05 09:37:00+05:30,1599.300048828125,1599.5999755859375,1598.5,1598.9000244140625,10310,0.0,0.0
2026-01-05 09:38:00+05:30,1599.199951171875,1599.9000244140625,1598.699951171875,1599.9000244140625,10168,0.0,0.0
2026-01-05 09:39:00+05:30,1599.699951171875,1600.5999755859375,1599.300048828125,1599.300048828125,29110,0.0,0.0
2026-01-05 09:40:00+05:30,1599.699951171875,1600.0,1599.0999755859375,1599.5999755859375,12148,0.0,0.0
2026-01-05 09:41:00+05:30,1600.0,1600.0,1598.4000244140625,1598.9000244140625,11774,0.0,0.0
2026-01-05 09:42:00+05:30,1599.4000244140625,1599.5,1597.4000244140625,1597.9000244140625,14784,0.0,0.0
2026-01-05 09:43:00+05:30,1597.5,1598.0,1597.300048828125,1597.699951171875,19061,0.0,0.0
2026-01-05 09:44:00+05:30,1597.199951171875,1597.9000244140625,1597.0,1597.800048828125,10402,0.0,0.0
2026-01-05 09:45:00+05:30,1597.800048828125,1598.0,1597.5999755859375,1597.699951171875,10619,0.0,0.0
2026-01-05 09:46:00+05:30,1597.5999755859375,1597.9000244140625,1597.0,1597.199951171875,12705,0.0,0.0
2026-01-05 09:47:00+05:30,1597.800048828125,1598.0,1595.9000244140625,1596.0,118009,0.0,0.0
2026-01-05 09:48:00+05:30,1596.0,1596.0,1595.699951171875,1595.9000244140625,39915,0.0,0.0
2026-01-05 09:49:00+05:30,1596.0,1596.0,1595.9000244140625,1595.9000244140625,35998,0.0,0.0
2026-01-05 09:50:00+05:30,1596.0,1598.0,1595.9000244140625,1597.199951171875,55565,0.0,0.0
2026-01-05 09:51:00+05:30,1597.5,1597.9000244140625,1596.4000244140625,1596.4000244140625,10735,0.0,0.0
2026-01-05 09:52:00+05:30,1596.5999755859375,1597.199951171875,1596.4000244140625,1596.5999755859375,7411,0.0,0.0
2026-01-05 09:53:00+05:30,1596.9000244140625,1597.699951171875,1596.4000244140625,1597.5999755859375,55216,0.0,0.0
2026-01-05 09:54:00+05:30,1597.0999755859375,1597.800048828125,1597.0999755859375,1597.199951171875,8814,0.0,0.0
2026-01-05 09:55:00+05:30,1597.199951171875,1597.5999755859375,1596.699951171875,1596.9000244140625,14235,0.0,0.0
2026-01-05 09:56:00+05:30,1596.9000244140625,1597.5999755859375,1596.4000244140625,1597.0999755859375,18047,0.0,0.0
2026-01-05 09:57:00+05:30,1597.5999755859375,1597.5999755859375,1596.5999755859375,1597.4000244140625,5914,0.0,0.0
